,Mkt-RF,RF,Month,RM,GROSS-RM,GROSS-RF,CumRet-RM,CumRet-RF
707,0.0127,0.0055000000000000005,1985-06-01,0.0182,1.0182,1.0055,3.775484722999364,3.440350646243289
708,-0.0074,0.0062,1985-07-01,-0.0012000000000000005,0.9988,1.0062,3.7709541413317647,3.4616808202499976
709,-0.0102,0.0055000000000000005,1985-08-01,-0.0047,0.9953,1.0055,3.753230656867505,3.480720064761373
710,-0.0454,0.006,1985-09-01,-0.039400000000000004,0.9606,1.006,3.6053533689869255,3.501604385149941
711,0.040199999999999986,0.006500000000000001,1985-10-01,0.046699999999999985,1.0467,1.0065,3.773723371318615,3.5243648136534156
712,0.06480000000000001,0.0061,1985-11-01,0.0709,1.0709,1.0061,4.041280358345104,3.5458634390167014
713,0.0388,0.006500000000000001,1985-12-01,0.0453,1.0453,1.0065,4.224350358578137,3.56891155137031
714,0.006500000000000001,0.005600000000000001,1986-01-01,0.012100000000000001,1.0121,1.0056,4.275464997916933,3.5888974560579836
715,0.0713,0.0053,1986-02-01,0.0766,1.0766,1.0053,4.60296561675737,3.6079186125750913
716,0.0488,0.006,1986-03-01,0.0548,1.0548,1.006,4.855208132555673,3.629566124250542
717,-0.0131,0.0052,1986-04-01,-0.0079,0.9921,1.0052,4.816851988308484,3.648439868096645
718,0.0462,0.0049,1986-05-01,0.0511,1.0511,1.0049,5.0629931249110465,3.666317223450318
719,0.0103,0.0052,1986-06-01,0.0155,1.0155,1.0052,5.141469518347168,3.68538207301226
720,-0.0645,0.0052,1986-07-01,-0.059300000000000005,0.9407,1.0052,4.836580375909181,3.704546059791924
721,0.0607,0.0046,1986-08-01,0.0653,1.0653,1.0046,5.15240907445605,3.7215869716669667
722,-0.086,0.0045000000000000005,1986-09-01,-0.08149999999999999,0.9185,1.0045,4.732487734887882,3.738334113039468
723,0.0466,0.0046,1986-10-01,0.0512,1.0512,1.0046,4.974791106914141,3.7555304499594495
724,0.0117,0.0039,1986-11-01,0.0156,1.0156,1.0039,5.052397848182002,3.7701770187142913
725,-0.0327,0.0049,1986-12-01,-0.0278,0.9722,1.0049,4.911941188002542,3.788650886105991
726,0.1247,0.0042,1987-01-01,0.12890000000000001,1.1289,1.0042,5.54509040713607,3.804563219827636
727,0.0439,0.0043,1987-02-01,0.0482,1.0482,1.0043,5.812363764760028,3.820922841672895
728,0.016399999999999998,0.004699999999999999,1987-03-01,0.021099999999999997,1.0211,1.0047,5.935004640196464,3.8388811790287574
729,-0.0211,0.0044,1987-04-01,-0.0167,0.9833,1.0044,5.835890062705182,3.8557722562164836
