permno,date,ret
13610,11/30/2016,0.194710419
13610,12/30/2016,-0.014999976
13610,1/31/2017,0.023428287
13610,2/28/2017,0.193437651
13610,3/31/2017,0.057593275
13610,4/28/2017,-0.022512866
13610,5/31/2017,-0.080610044
13610,6/30/2017,0.032038189
13610,7/31/2017,-0.026420116
13610,8/31/2017,0.100067846
13610,9/29/2017,0.062674545
13610,10/31/2017,0.066569306
13610,11/30/2017,-0.018888569
13610,12/29/2017,-0.001683433
13610,1/31/2018,0.047779564
13610,2/28/2018,-0.122854047
13610,3/29/2018,-0.064923093
13610,4/30/2018,-0.006581075
13610,5/31/2018,0.07750915
13610,6/29/2018,-0.111661069
13610,7/31/2018,0.027506996
13610,8/31/2018,0.048119258
13610,9/28/2018,-0.164334506
13610,10/31/2018,-0.213395625
13610,11/30/2018,0.075742565
13610,12/31/2018,-0.065954484
39731,1/31/2000,-0.11660777
39731,2/29/2000,0.028000001
39731,3/31/2000,-0.259455264
39731,4/28/2000,-0.015789473
39731,5/31/2000,-0.03208556
39731,6/30/2000,-0.130828723
39731,7/31/2000,0.082802549
39731,8/31/2000,0.05882353
39731,9/29/2000,0.007333333
39731,10/31/2000,0.232044205
39731,11/30/2000,0.131479815
39731,12/29/2000,0.003968254
39731,1/31/2001,0.113043502
39731,2/28/2001,0.025568116
39731,3/30/2001,-0.013296306
39731,4/30/2001,-0.087127663
39731,5/31/2001,-0.005541882
39731,6/29/2001,0.18018584
39731,7/31/2001,-0.116071478
39731,8/31/2001,-0.0433749
39731,9/28/2001,-0.05465842
39731,10/31/2001,-0.177631572
39731,11/30/2001,0.00800003
39731,12/31/2001,0.103174582
39731,1/31/2002,-0.048991375
39731,2/28/2002,0.045454577
39731,3/28/2002,0.162318856
39731,4/30/2002,-0.013732851
39731,5/31/2002,0.047468293
39731,6/28/2002,0.094864123
39731,7/31/2002,-0.155248642
39731,8/30/2002,-0.123610228
39731,9/30/2002,0.005223895
39731,10/31/2002,-0.176951677
39731,11/29/2002,0.133694723
39731,12/31/2002,-0.054183252
39731,1/31/2003,-0.0160338
39731,2/28/2003,-0.039451119
39731,3/31/2003,-0.051785663
39731,4/30/2003,0.202830151
39731,5/30/2003,0.129411742
39731,6/30/2003,-0.144444406
39731,7/31/2003,0.04471546
39731,8/29/2003,0.046692561
39731,9/30/2003,-0.136059433
39731,10/31/2003,0.094827533
39731,11/28/2003,0.033070873
39731,12/31/2003,0.157774404
39731,1/30/2004,-0.048121326
39731,2/27/2004,-0.040858671
39731,3/31/2004,0.023826659
39731,4/30/2004,-0.018374508
39731,5/28/2004,-0.078473732
39731,6/30/2004,-0.021093765
39731,7/30/2004,-0.124000013
39731,8/31/2004,0.173516035
39731,9/30/2004,-0.130739301
39731,10/29/2004,0.102333874
39731,11/30/2004,0.129478842
39731,12/31/2004,0.031002143
39731,1/31/2005,-0.084805645
39731,2/28/2005,-0.003861019
39731,3/31/2005,0.015891489
39731,4/29/2005,-0.056214124
39731,5/31/2005,-0.103727691
39731,6/30/2005,0.024412274
39731,7/29/2005,0.049557474
39731,8/31/2005,-0.040472139
39731,9/30/2005,-0.127416566
39731,10/31/2005,-0.107070655
39731,11/30/2005,-0.012443508
39731,12/30/2005,0.040091716
39731,1/31/2006,0.039167486
39731,2/28/2006,-0.029166654
39731,3/31/2006,-0.007970487
39731,4/28/2006,-0.062034797
39731,5/31/2006,-0.113756634
39731,6/30/2006,-0.083582044
39731,7/31/2006,0.180851057
39731,8/31/2006,-0.015939049
39731,9/29/2006,-0.02253522
39731,10/31/2006,0.00868306
39731,11/30/2006,0.043041635
39731,12/29/2006,0.134800583
39731,1/31/2007,0.155717731
39731,2/28/2007,-0.048421055
39731,3/30/2007,0.159292012
39731,4/30/2007,0.090909071
39731,5/31/2007,-0.072807014
39731,6/29/2007,-0.112582721
39731,7/31/2007,-0.117647097
39731,8/31/2007,0.070303023
39731,9/28/2007,-0.023782535
39731,10/31/2007,0.123399235
39731,11/30/2007,-0.107253872
39731,12/31/2007,-0.009866485
39731,1/31/2008,0.011764751
39731,2/29/2008,-0.203488424
39731,3/31/2008,-0.035036493
39731,4/30/2008,-0.077507563
39731,5/30/2008,-0.118616186
39731,6/30/2008,-0.153271019
39731,7/31/2008,-0.066666707
39731,8/29/2008,-0.166666627
39731,9/30/2008,-0.005714272
39731,10/31/2008,-0.579304338
39731,11/28/2008,-0.311010092
39731,12/31/2008,-0.420000017
39731,1/30/2009,0.86206907
39731,2/27/2009,-0.333333343
39731,3/31/2009,-0.027777834
39731,4/30/2009,0.428571463
39731,5/29/2009,-0.25
39731,6/30/2009,-0.199999973
39731,7/31/2009,0.333333313
39731,8/31/2009,0.137500018
39731,9/30/2009,1.549450397
39731,10/30/2009,-0.211206853
39731,11/30/2009,-0.387978166
39731,12/31/2009,0.357142836
39731,1/29/2010,0.328947365
39731,2/26/2010,-0.009900981
39731,3/31/2010,0.174999952
39731,4/30/2010,0.561702251
39731,5/28/2010,-0.209809259
39731,6/30/2010,-0.165517241
39731,7/30/2010,0.024793364
39731,8/31/2010,-0.274193585
39731,9/30/2010,0.055555571
39731,10/29/2010,0.005263153
39731,11/30/2010,-0.073298424
39731,12/31/2010,0
39731,1/31/2011,0.016949136
39731,2/28/2011,0.172222197
39731,3/31/2011,-0.080568649
39731,4/29/2011,0.268041223
39731,5/31/2011,-0.044715501
39731,6/30/2011,-0.021276576
39731,7/29/2011,-0.102173872
39731,8/31/2011,-0.196125939
39731,9/30/2011,-0.156626508
39731,10/31/2011,0.192857131
39731,11/30/2011,-0.209580794
39731,12/30/2011,0.053030249
39731,1/31/2012,0.230215862
39731,2/29/2012,0.035087686
39731,3/30/2012,-0.096045174
39731,4/30/2012,-0.031250045
39731,5/31/2012,-0.209677383
39731,6/29/2012,0.097959183
39731,7/31/2012,0.11524161
39731,8/31/2012,0.056666691
39731,9/28/2012,0.255520493
39731,10/31/2012,0.022613104
39731,11/30/2012,-0.125307173
39731,12/31/2012,-0.02247189
39731,1/31/2013,0.954023004
39731,2/28/2013,0.102941148
39731,3/28/2013,0.093333311
39731,4/30/2013,0.439999998
39731,5/31/2013,-0.071815684
39731,6/28/2013,0.270437926
39731,7/31/2013,0.103131279
39731,8/30/2013,-0.169270799
39731,9/30/2013,0.148902789
39731,10/31/2013,-0.004092733
39731,11/29/2013,0.453698665
39731,12/31/2013,0.216547236
39731,1/31/2014,-0.28040278
39731,2/28/2014,0.049515612
39731,3/31/2014,-0.130256459
39731,4/30/2014,0.057193473
39731,5/30/2014,0.029559329
39731,6/30/2014,0.170097589
39731,7/31/2014,-0.114814788
39731,8/29/2014,-0.165271997
39731,9/30/2014,-0.221315786
39731,10/31/2014,0.19087851
39731,11/28/2014,0.109459452
39731,12/31/2014,0.114494465
39731,1/30/2015,-0.175956249
39731,2/27/2015,0.241379276
39731,3/31/2015,0.258547038
39731,4/30/2015,-0.023769079
39731,5/29/2015,0.182608724
39731,6/30/2015,-0.041764762
39731,7/31/2015,0.110343821
39731,8/31/2015,-0.300967544
39731,9/30/2015,0.146811724
39731,10/30/2015,0.245689601
39731,11/30/2015,0.021799345
39731,12/31/2015,-0.04266848
39731,1/29/2016,-0.205164522
39731,2/29/2016,-0.083222032
39731,3/31/2016,0.01699031
39731,4/29/2016,0.049641956
39731,5/31/2016,-0.016825782
39731,6/30/2016,-0.06567993
39731,7/29/2016,-0.044554528
39731,8/31/2016,0.068393871
39731,9/30/2016,-0.008244426
39731,10/31/2016,-0.162973091
39731,11/30/2016,0.157081693
39731,12/30/2016,0.050186787
39731,1/31/2017,0.076923095
39731,2/28/2017,0.16291967
39731,3/31/2017,0.021136764
39731,4/28/2017,-0.018796992
39731,5/31/2017,-0.191570878
39731,6/30/2017,0.068720326
39731,7/31/2017,0.137472302
39731,8/31/2017,-0.052631594
39731,9/29/2017,0.057613235
39731,10/31/2017,-0.007782131
39731,11/30/2017,-0.058815677
39731,12/29/2017,0.195823386
39731,1/31/2018,-0.024383292
39731,2/28/2018,-0.16429171
39731,3/29/2018,-0.089743607
39731,4/30/2018,-0.061032832
39731,5/31/2018,-0.039999962
39731,6/29/2018,0.523062408
39731,7/31/2018,-0.021981457
39731,8/31/2018,0.118881106
39731,9/28/2018,-0.009374976
39731,10/31/2018,-0.028075751
39731,11/30/2018,0.034079883
39731,12/31/2018,-0.160389215
79089,1/31/2000,-0.159459457
79089,2/29/2000,0.167202577
79089,3/31/2000,0.03305785
79089,4/28/2000,-0.114666663
79089,5/31/2000,-0.030120483
79089,6/30/2000,-0.034161489
79089,7/31/2000,-0.061093248
79089,8/31/2000,-0.044520549
79089,9/29/2000,-0.236559138
79089,10/31/2000,-0.018779343
79089,11/30/2000,0.138755977
79089,12/29/2000,-0.026260504
79089,1/31/2001,0.333333343
79089,2/28/2001,-0.093851134
79089,3/30/2001,-0.007142857
79089,4/30/2001,0.079712242
79089,5/31/2001,0.191364616
79089,6/29/2001,-0.071588382
79089,7/31/2001,-0.036144577
79089,8/31/2001,0.025500011
79089,9/28/2001,-0.234032184
79089,10/31/2001,0.154678509
79089,11/30/2001,0.199007764
79089,12/31/2001,-0.034482758
79089,1/31/2002,0.1152381
79089,2/28/2002,0.092655852
79089,3/28/2002,0.039077766
79089,4/30/2002,0.043625418
79089,5/31/2002,0.115675643
79089,6/28/2002,-0.003875965
79089,7/31/2002,-0.103112794
79089,8/30/2002,0.185466379
79089,9/30/2002,-0.082799695
79089,10/31/2002,-0.021945069
79089,11/29/2002,0.03518606
79089,12/31/2002,0.001970489
79089,1/31/2003,-0.090462148
79089,2/28/2003,-0.028108133
79089,3/31/2003,-0.0422692
79089,4/30/2003,0.063879237
79089,5/30/2003,0.22325328
79089,6/30/2003,0.051316358
79089,7/31/2003,0.078947395
79089,8/29/2003,0.103461809
79089,9/30/2003,-0.133689851
79089,10/31/2003,0.105761386
79089,11/28/2003,0.084480777
79089,12/31/2003,-0.034660269
79089,1/30/2004,0.029150432
79089,2/27/2004,0.200690761
79089,3/31/2004,-0.043153051
79089,4/30/2004,0.09861704
79089,5/28/2004,-0.023399001
79089,6/30/2004,0.145439222
79089,7/30/2004,-0.112293556
79089,8/31/2004,0.186854005
79089,9/30/2004,0.077673338
79089,10/29/2004,-0.038138341
79089,11/30/2004,-0.09106186
79089,12/31/2004,-0.052125689
79089,1/31/2005,0.088143535
79089,2/28/2005,-0.075268835
79089,3/31/2005,0.004844961
79089,4/29/2005,-0.102796495
79089,5/31/2005,-0.082115211
79089,6/30/2005,0.063231871
79089,7/29/2005,0.048017625
79089,8/31/2005,-0.075662091
79089,9/30/2005,-0.172805786
79089,10/31/2005,-0.139087439
79089,11/30/2005,0.27330783
79089,12/30/2005,0.078736193
79089,1/31/2006,0.101348221
79089,2/28/2006,-0.281553388
79089,3/31/2006,0.091656841
79089,4/28/2006,-0.124865428
79089,5/31/2006,0.121156171
79089,6/30/2006,-0.012067982
79089,7/31/2006,0.008328685
79089,8/31/2006,0.036343604
79089,9/29/2006,0.144527167
79089,10/31/2006,0.013927541
79089,11/30/2006,-0.037545774
79089,12/29/2006,0.07421501
79089,1/31/2007,-0.003100075
79089,2/28/2007,0.195912912
79089,3/30/2007,-0.016716225
79089,4/30/2007,0.064223677
79089,5/31/2007,0.107916184
79089,6/29/2007,-0.055110522
79089,7/31/2007,-0.133604631
79089,8/31/2007,0.311545968
79089,9/28/2007,0.114891149
79089,10/31/2007,0.005353339
79089,11/30/2007,0.153887078
79089,12/31/2007,-0.0313798
79089,1/31/2008,-0.190566942
79089,2/29/2008,-0.052972317
79089,3/31/2008,-0.050963312
79089,4/30/2008,0.171905696
79089,5/30/2008,-0.113998368
79089,6/30/2008,-0.083254479
79089,7/31/2008,-0.078775339
79089,8/29/2008,0.117251657
79089,9/30/2008,-0.056483977
79089,10/31/2008,-0.357066959
79089,11/28/2008,-0.162534431
79089,12/31/2008,0.098684274
79089,1/30/2009,-0.308982074
79089,2/27/2009,0.093587518
79089,3/31/2009,0.244057044
79089,4/30/2009,0.284076452
79089,5/29/2009,0.10813494
79089,6/30/2009,0.077887185
79089,7/31/2009,0.093853831
79089,8/31/2009,-0.036446508
79089,9/30/2009,0.120961457
79089,10/30/2009,-0.060456984
79089,11/30/2009,0.154133961
79089,12/31/2009,0.087844439
79089,1/29/2010,-0.027115608
79089,2/26/2010,0.110260285
79089,3/31/2010,0.041103493
79089,4/30/2010,0.032326374
79089,5/28/2010,-0.037474312
79089,6/30/2010,-0.074666649
79089,7/30/2010,0.141210303
79089,8/31/2010,0.199242517
79089,9/30/2010,0.13265948
79089,10/29/2010,0.096672259
79089,11/30/2010,0.146804541
79089,12/31/2010,0.041832991
79089,1/31/2011,0.008087396
79089,2/28/2011,0.080084369
79089,3/31/2011,0.220354497
79089,4/29/2011,0.022744231
79089,5/31/2011,0.10503234
79089,6/30/2011,0.112244949
79089,7/29/2011,0.067533106
79089,8/31/2011,-0.231240541
79089,9/30/2011,-0.160956457
79089,10/31/2011,0.278805912
79089,11/30/2011,-0.135732263
79089,12/30/2011,-0.114186808
79089,1/31/2012,0.197706684
79089,2/29/2012,0.283324569
79089,3/30/2012,0.081980586
79089,4/30/2012,-0.009925728
79089,5/31/2012,-0.440116286
79089,6/29/2012,0.046200071
79089,7/31/2012,-0.063365541
79089,8/31/2012,0.184962958
79089,9/28/2012,-0.002942908
79089,10/31/2012,0.02833532
79089,11/30/2012,-0.007577452
79089,12/31/2012,0.077047616
79089,1/31/2013,0.134049445
79089,2/28/2013,-0.026614938
79089,3/28/2013,-0.060036961
79089,4/30/2013,0.015735034
79089,5/31/2013,0.082348086
79089,6/28/2013,-0.0272128
79089,7/31/2013,0.063788638
79089,8/30/2013,0.056778871
